Date,Income,Outcome,Balance
2017-01-09,1.3430284451958885,1.487864846148386,-0.1559036386263838
2017-01-10,1.0686103210858036,1.1941824549802276,-0.12557213390759098
2017-01-11,0.9444291149567445,0.9366625183417425,0.0077665966202687545
2017-01-12,1.6722020837242924,0.8753789642569223,0.8003907709476724
2017-01-13,0.9559239896622695,0.9756451203419984,-0.019721130679728725
2017-01-14,0.0,0.0,0.0
2017-01-15,0.0,0.0,0.0
2017-01-16,1.0823413586798478,1.0243449325493723,0.0579964261304756
2017-01-17,0.8963335667054485,1.4483640095249777,-0.5485185355650501
2017-01-18,0.7547589142354276,0.8795602298573381,-0.12480131562191048
2017-01-19,0.9498771712289817,0.9552678729316222,-0.005390701700006988
2017-01-20,1.0241865620952701,1.1380867931497325,-0.11390023104129549
2017-01-21,0.0,0.0,0.0
2017-01-22,0.0,0.0,0.0
2017-01-23,1.1107177636043406,1.2200637878081988,-0.10934602420385839
2017-01-24,1.0404757744250093,0.967099810132594,0.07337596429241532
2017-01-25,1.0799640656748748,1.1937266380122407,-0.11376257233736582
2017-01-26,0.9782956311800286,1.112359273893516,-0.13406364271348736
2017-01-27,1.196395889745701,1.395696227360433,-0.19848347820723888
2017-01-28,0.0,0.0,0.0
2017-01-29,0.0,0.0,0.0
2017-01-30,1.3037324465467592,1.461530955066114,-0.1547027394449702
2017-01-31,1.2604019846416386,1.2874019288241763,-0.02699994416937068
2017-02-01,0.9535028694125403,0.8601942251291382,0.09330864428340203
2017-02-02,0.9822268561291105,0.8989108102198515,0.08331604590925908
2017-02-03,0.9875557893465012,0.9807645904058155,0.006791198935418914
2017-02-04,0.0,0.0,0.0
2017-02-05,0.0,0.0,0.0
2017-02-06,0.9111923489453346,0.9434745893533297,-0.03228224040799516
2017-02-07,0.9119310502594479,0.9532203415877984,-0.0412892913283506
2017-02-08,1.1024221678878618,0.9054784032195878,0.19694376466827418
2017-02-09,1.5010317916895224,1.0717165026728905,0.4346808287785116
2017-02-10,1.147702380212817,0.9641494958447594,0.18355288435489064
2017-02-11,0.0,0.0,0.0
2017-02-12,0.0,0.0,0.0
2017-02-13,1.1024737343208666,1.29294362217197,-0.19046988785110308
2017-02-14,0.982352785046438,1.0685305557955502,-0.08617777074911219
2017-02-15,1.0797501307895907,1.0455795814722522,0.034170549317338435
2017-02-16,1.1274411676292124,0.8573460728820845,0.270095094760295
2017-02-17,1.002798216997122,0.9187118264698813,0.08408639051407372
2017-02-18,0.0,0.0,0.0
2017-02-19,0.0,0.0,0.0
2017-02-20,1.119652580240115,1.1444110985216633,-0.02475851828154834
2017-02-21,1.2875369255930598,1.1564679953704227,0.131068930222637
2017-02-22,1.4351970639838416,1.4220301184427053,0.022755521392292838
2017-02-23,0.0,0.0,0.0
2017-02-24,0.0582287574507276,0.0051352494037719,0.05309350805353918
2017-02-25,0.0,0.0,0.0
2017-02-26,0.0,0.0,0.0
2017-02-27,1.7643707025122455,1.882873212382471,-0.11886215537581134
2017-02-28,1.5010317916895224,1.711702920347701,-0.21112799001511892
2017-03-01,0.9424913810469185,1.1401593375688304,-0.1976679565219119
2017-03-02,1.0302432793328802,0.8674934692546655,0.16274981007821462
2017-03-03,0.9810719145252401,0.9122794827942109,0.06879243173102925
2017-03-04,0.0,0.0,0.0
2017-03-05,0.0,0.0,0.0
2017-03-06,1.0009637632255912,1.089702311078183,-0.08873854785259175
2017-03-07,0.9395876075006451,0.8876461851668224,0.05194142233382271
2017-03-08,0.0,0.0,0.0
2017-03-09,1.3561953907370246,1.0635391427698004,0.298185265101537
2017-03-10,1.126412496190397,1.0095617742266925,0.11685072196370454
2017-03-11,0.0,0.0,0.0
2017-03-12,0.0,0.0,0.0
2017-03-13,1.2392066376686697,1.4088631729015693,-0.16365134166205517
2017-03-14,1.47469790060725,1.1213323624027178,0.35835827147991134
2017-03-15,1.2574723947705782,1.2484538243002399,0.009018570472971646
2017-03-16,1.0262417627898632,0.9844830493915376,0.04175871339832548
2017-03-17,1.0907661067399257,1.0308713149319388,0.059894791807986784
2017-03-18,0.0,0.0,0.0
2017-03-19,0.0,0.0,0.0
2017-03-20,1.3166945541136161,1.4351970639838416,-0.11852767337785246
2017-03-21,1.167639682907712,1.0765658477006557,0.09107383522022332
2017-03-22,1.1074993506207047,1.0837461450372363,0.023753205596635397
2017-03-23,1.111859819429625,1.0325245714137308,0.07933524801589417
2017-03-24,1.0974852936672381,1.114761417822829,-0.01727612415559073
2017-03-25,0.0,0.0,0.0
2017-03-26,0.0,0.0,0.0
2017-03-27,2.8440602368854107,1.487864846148386,1.3430284451958885
2017-03-28,1.3430284451958885,2.5938882716038236,-1.2440184535440715
2017-03-29,1.4351970639838416,1.0986140019623232,0.33127144967081507
2017-03-30,1.4351970639838416,1.47469790060725,-0.039910246099323164
2017-03-31,1.47469790060725,1.5141987372306585,-0.03282626208581492
2017-04-01,0.0,0.0,0.0
2017-04-02,0.0,0.0,0.0
2017-04-03,1.2119833307386667,1.2702118776367681,-0.05822854689810145
2017-04-04,1.1542492107564735,1.3693623362781608,-0.20996424738784375
2017-04-05,1.0582995282253362,1.0162294827288643,0.042070045496472
2017-04-06,1.1500329964748484,0.8957587933893124,0.254274203085536
2017-04-07,1.008497744733164,0.9737377965330882,0.034759948200075774
2017-04-08,0.0,0.0,0.0
2017-04-09,0.0,0.0,0.0
2017-04-10,1.2553399414471162,1.1660587667439137,0.08928117470320256
2017-04-11,1.072781824739129,0.9481474275391992,0.12463439719992984
2017-04-12,0.9860917242415954,0.9854906956410419,0.000601028594891709
